postcode,lat,lng
2021,-33.8957,151.2272
2022,-33.8964,151.245
2023,-33.8847,151.2559
2024,-33.9044,151.2594
2025,-33.8887,151.2405
2026,-33.891,151.269
2027,-33.869,151.2505
2028,-33.8784,151.241
2029,-33.8757,151.267
2030,-33.8584,151.276
2031,-33.9148,151.2392
2032,-33.9303,151.2239
2033,-33.9114,151.2184
2034,-33.9291,151.2522
2035,-33.9456,151.2413
2036,-33.9696,151.2378
2037,-33.8802,151.1845
2038,-33.8816,151.1702
2039,-33.8672,151.1719
2040,-33.8788,151.1568
2041,-33.8586,151.1801
2042,-33.9006,151.1754
2043,-33.9035,151.1847
2044,-33.9207,151.1707
2045,-33.8793,151.1387
2046,-33.866,151.1339
2047,-33.8539,151.1657
2048,-33.8942,151.1656
2049,-33.8972,151.1509
2050,-33.8904,151.176
2052,-33.9066,151.2344
2055,-33.8028,151.1049
2057,-33.792,151.1899
2058,-31.2532,146.921
2059,-33.8028,151.1049
2060,-33.8399,151.2046
2061,-33.8488,151.2124
2062,-33.8228,151.2125
2063,-33.8126,151.2148
2064,-33.8132,151.1838
2065,-33.8284,151.1922
2066,-33.8186,151.1609
2067,-33.7984,151.1771
2068,-33.8009,151.2027
2069,-33.7802,151.1954
2070,-33.7804,151.162
2071,-33.7554,151.1815
2072,-33.7546,151.1532
2073,-33.7573,151.1303
2074,-33.7352,151.1237
2075,-33.7237,151.1673
2076,-33.7233,151.1082
2077,-33.6919,151.0975
2079,-33.6666,151.1127
2080,-33.6582,151.1436
2081,-33.6198,151.1505
2082,-33.5462,151.1387
2083,-33.5253,151.1945
2084,-33.651,151.2169
2085,-33.7288,151.2117
2086,-33.7518,151.2292
2087,-33.7661,151.2105
2088,-33.8307,151.2434
2089,-33.8415,151.2228
2090,-33.8289,151.2231
2091,-33.8279,151.261
2092,-33.7966,151.2418
2093,-33.7931,151.2581
2094,-33.7952,151.2732
2095,-33.8155,151.2947
2096,-33.7768,151.2849
2097,-33.7396,151.2979
2099,-33.7489,151.28
2100,-33.7664,151.2578
2101,-33.7071,151.2711
2102,-33.6899,151.291
2103,-33.6793,151.3028
2104,-33.6649,151.2909
2105,-33.6422,151.2783
2106,-33.6607,151.3146
2107,-33.6348,151.3233
2108,-33.6038,151.3228
2109,-33.7716,151.1135
2110,-33.8361,151.1491
2111,-33.83,151.1245
2112,-33.8166,151.1084
2113,-33.7942,151.1302
2114,-33.811,151.0842
2115,-33.8131,151.0598
2116,-33.8144,151.0369
2117,-33.7971,151.0422
2118,-33.7756,151.0435
2119,-33.7555,151.0642
2120,-33.7311,151.0736
2121,-33.7741,151.0799
2122,-33.7914,151.0921
2123,-33.8154,150.9996
2124,-33.8862,151.1395
2125,-33.7526,151.0318
2126,-33.7249,151.0439
2127,-33.8528,151.0762
2128,-33.8359,151.0476
2129,-33.8641,151.0696
2130,-33.8928,151.1359
2131,-33.8876,151.124
2132,-33.8824,151.1134
2133,-33.8988,151.1021
2134,-33.88,151.1018
2135,-33.881,151.0848
2136,-33.8929,151.0877
2137,-33.8575,151.1038
2138,-33.8461,151.086
2139,-33.836,151.0952
2140,-33.835,151.0709
2141,-33.8725,151.0448
2142,-33.8327,151.0152
2143,-33.8854,151.0219
2144,-33.8519,151.0268
2145,-33.7938,150.9752
2146,-33.7894,150.9595
2147,-33.7661,150.9358
2148,-33.7838,150.9005
2150,-33.8145,151.0065
2151,-33.7871,151.0125
2152,-33.7825,150.9964
2153,-33.7317,150.9559
2154,-33.7324,151.0009
2155,-33.7315,150.9311
2156,-33.657,150.9745
2157,-33.6022,150.9911
2158,-33.6903,151.0404
2159,-33.5391,151.0841
2160,-33.8359,150.9766
2161,-33.8583,150.9837
2162,-33.8835,151.0041
2163,-33.8872,150.9795
2164,-33.8442,150.875
2165,-33.8724,150.9475
2166,-33.8927,150.9294
2167,-33.9722,150.8904
2168,-33.9159,150.8753
2170,-33.9284,150.9214
2171,-33.9377,150.8487
2172,-33.9511,150.9174
2173,-34.0742,150.9196
2174,-33.9775,150.8567
2175,-33.845,150.8482
2176,-33.872,150.8853
2177,-33.8951,150.8794
2178,-33.8748,150.8382
2179,-33.9331,150.812
2190,-33.8919,151.0477
2191,-33.9068,151.0855
2192,-33.921,151.0897
2193,-33.9103,151.1209
2194,-33.9176,151.1018
2195,-33.9245,151.0769
2196,-33.9301,151.0578
2197,-33.9012,150.9982
2198,-33.9088,150.9863
2199,-33.9056,151.0232
2200,-33.9266,151.0149
2203,-33.9044,151.139
2204,-33.9123,151.1555
2205,-33.9376,151.148
2206,-33.9261,151.1229
2207,-33.9487,151.1195
2208,-33.9426,151.098
2209,-33.9491,151.0753
2210,-33.9577,151.0523
2211,-33.9614,151.0322
2212,-33.9473,151.0145
2213,-33.9641,150.9978
2214,-33.9414,150.9816
2216,-33.9554,151.1482
2217,-33.9744,151.1403
2218,-33.9732,151.1175
2219,-33.9966,151.1325
2220,-33.9667,151.1018
2221,-33.9922,151.106
2222,-33.9647,151.0848
2223,-33.9803,151.0718
2224,-34.0136,151.1019
2225,-33.9974,151.0879
2226,-34.0093,151.0638
2227,-34.0498,151.085
2228,-34.0377,151.1016
2229,-34.0549,151.1201
2230,-34.0932,151.1366
2231,-34.0299,151.1935
2232,-34.0618,151.0643
2233,-34.1146,151.0279
2234,-34.0219,151.0044
2250,-33.3254,151.1892
2251,-33.4822,151.402
2252,-33.3208,151.234
2256,-33.4821,151.3312
2257,-33.5204,151.3744
2258,-33.3332,151.3433
2259,-33.2088,151.3772
2260,-33.4254,151.4369
2261,-33.3158,151.5197
2262,-33.2091,151.528
2263,-33.2851,151.5562
2264,-33.1067,151.5338
2265,-33.0956,151.4121
2267,-33.0865,151.5917
2278,-32.9324,151.5904
2280,-33.0197,151.6632
2281,-33.09,151.6689
2282,-32.9873,151.6513
2283,-33.0191,151.5718
2284,-32.9532,151.6212
2285,-32.9333,151.6511
2286,-32.9233,151.5327
2287,-32.8926,151.6581
2289,-32.9486,151.7101
2290,-32.984,151.7078
2291,-32.951,151.7429
2292,-32.9316,151.7407
2293,-32.9178,151.7547
2294,-32.9158,151.7674
2295,-32.8795,151.8017
2296,-32.9157,151.7462
2297,-32.9091,151.7501
2298,-32.9056,151.7222
2299,-32.9031,151.6909
2300,-32.9316,151.778
2302,-32.9313,151.7525
2303,-32.9246,151.7433
2304,-32.8803,151.7386
2305,-32.9302,151.7065
2306,-32.9933,151.6825
2307,-32.8837,151.6881
2308,-32.8929,151.6974
2309,-30.3522,148.8908
2310,-32.1932,151.701
2311,-32.3438,151.5225
2312,-32.1617,152.3722
2314,-32.7975,151.8401
2315,-32.7462,152.1937
2316,-32.7769,152.0833
2317,-32.7209,152.0764
2318,-32.7699,151.8519
2319,-32.7309,152.0396
2320,-32.7417,151.5437
2321,-32.6602,151.6837
2322,-32.8198,151.6541
2323,-32.7576,151.6076
2324,-32.6231,152.3326
2325,-32.9779,151.3175
2326,-32.7852,151.4531
2327,-32.8207,151.4862
2328,-32.5769,150.5648
2329,-32.0475,150.1875
2330,-32.7605,150.9721
2331,-32.7442,151.1591
2333,-32.2486,150.7019
2334,-32.7285,151.3855
2335,-32.6421,151.3194
2336,-32.1462,151.1029
2337,-31.9668,151.0804
2338,-31.7352,151.0292
2339,-31.7357,150.6033
2340,-31.3336,151.1383
2341,-31.3466,150.6111
2342,-31.1552,150.5491
2343,-31.6655,150.1491
2344,-31.1737,150.7296
2345,-30.8643,150.875
2346,-30.6023,150.5206
2347,-30.2819,150.5232
2348,-31.2532,146.921
2350,-30.4934,151.9062
